Instruction,Input,Generated Text,Expected Output,BLEU,ROUGE1,ROUGE2,ROUGEL,BERTScore F1
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Bu nüfus , Sırp General Rankoviç döneminde Kosova'da ( o dönemki Yugoslavya'da ) yapılan baskı ve zulümlerden sonra , Kosova'yı terk etmek zorunda kalıp Türkiye'ye göç etmelerle oluşmuştur .","bu: O, nüfus,: O, ,: O, Sırp: B-PERSON, General: B-PERSON, Rankoviç,: B-PERSON, döneminde,: O, Kosova'da,: B-LOCATION, (,: O, o,: B-TITLE, dönemdeki,: O, Yugoslavya'da,: B-ORGANIZATION, ): O, yapılan,: O, baskı,: O, ve,: O, zulümlerden,: O, sonra,: O, Kosova'yı,: B-LOCATION, terk,: O, etmek,: O, zorunda,: O, kalıp,: O, Türkiye'ye,: B-LOCATION, göç,: O, etmelerle,: O, oluşmuştur,: O, .: O","Bu: O, nüfus: O, : O, Sırp: O, General: O, Rankoviç: O, döneminde: O, Kosova'da: B-LOCATION, (: O, o: O, dönemki: O, Yugoslavya'da: O, ): O, yapılan: O, baskı: O, ve: O, zulümlerden: O, sonra: O, : O, Kosova'yı: B-LOCATION, terk: O, etmek: O, zorunda: O, kalıp: O, Türkiye'ye: O, göç: O, etmelerle: O, oluşmuştur: O, .: O",0.33435531171000765,0.853146853146853,0.75177304964539,0.853146853146853,0.817670464515686
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,Tony Iommi Black Sabbath grubunun kurucusu ve grubun genel soundunun yaratıcısı efsane virtüoz heavy metal gitaristidir .,"Tony: B-PERSON, Iommi: I-PERSON, Black: O, Sabbath: O, grubunun: I-ORGANIZATION, kurucusu: B-PERSON, ve: O, grubun: I-ORGANIZATION, genel: O, soundunun: O, yaratıcısı: B-PERSON, efsane: O, virtüoz: O, heavy: O, metal: O, gitarist: B-PERSON,idir: O, . : O,","Tony: B-TITLE, Iommi: I-TITLE, Black: B-PERSON, Sabbath: I-PERSON, grubunun: O, kurucusu: O, ve: O, grubun: O, genel: O, soundunun: O, yaratıcısı: O, efsane: O, virtüoz: O, heavy: B-TITLE, metal: I-TITLE, gitaristidir: B-TITLE, .: O",0.5831372229639691,0.8409090909090908,0.3953488372093023,0.6136363636363636,0.8586877584457397
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Doktorlar bacağının kesilmesinde karar kılmış , fakat Safa bunu kabul etmemiştir .","Doktorlar'ı: B-ORGANIZATION, bacağının'ı: I-LOCATION, kesilmesinde'i: O, karar'ı: O, kılmış'ı: O, ,: O, Safa'sı: B-PERSON, bunu'ı: I-TITLE, kabul'ı: O, etmemiştir'ı: O, . : O","Doktorlar: B-TITLE, bacağının: O, kesilmesinde: O, karar: O, kılmış: O, : O, fakat: O, Safa: B-PERSON, bunu: O, kabul: O, etmemiştir: O, .: O",0.2712702739018974,0.8275862068965518,0.6071428571428571,0.793103448275862,0.7524835467338562
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"İlçede Türkiye'nin büyük bir bölümünü etkisi altında tutan , karasal iklim özellikleri görülür .","İlçe: O, Türkiye'nin: B-LOCATION, büyük: O, bir: O, bölüm: O,ünü: O, etkileye: O, tutan: O, ,: O, karasal: O, iklim: O, özellikleri: O, görülür: O, .: O","İlçede: O, Türkiye'nin: B-LOCATION, büyük: O, bir: O, bölümünü: O, etkisi: O, altında: O, tutan: O, : O, karasal: O, iklim: O, özellikleri: O, görülür: O, .: O",0.7955788351061585,0.9230769230769231,0.8157894736842105,0.8974358974358975,0.9519603848457336
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Takahata 1959 yılında Tokyo Üniversitesi Fransız Dili ve Edebiyatı bölümünden mezun olmuş , ardından yeni kurulan Toei Doga animasyon şirketine ( bugünkü adıyla Toei Animation ) katılmıştır .","Takahata: O, 1959: B-DATE, yılında: I-DATE, Tokyo: B-LOCATION, Üniversitesi: I-ORGANIZATION, Fransız: B-LANGUAGE, Dili: I-LANGUAGE, ve: O, Edebiyatı: I-LANGUAGE, bölümünden: I-ORGANIZATION, mezun: O, olmuş: O, ,: O, ardından: O, yeni: O, kurulan: O, Toei: B-ORGANIZATION, Doga: I-ORGANIZATION, animasyon: I-ORGANIZATION, şirketine: I-ORGANIZATION, katılmıştır: O, : O, bugünkü: O, adıyla: O, Toei: B-ORGANIZATION, Animation: I-ORGANIZATION, : O.","Takahata: B-PERSON, 1959: B-TITLE, yılında: O, Tokyo: B-ORGANIZATION, Üniversitesi: I-ORGANIZATION, Fransız: B-LOCATION, Dili: O, ve: O, Edebiyatı: B-TITLE, bölümünden: O, mezun: O, olmuş: O, : O, ardından: O, yeni: O, kurulan: O, Toei: B-TITLE, Doga: O, animasyon: B-TITLE, şirketine: O, (: O, bugünkü: O, adıyla: O, Toei: B-TITLE, Animation: I-TITLE, ): O, katılmıştır: O, .: O",0.6192573349979369,0.7814569536423841,0.5771812080536913,0.6887417218543046,0.8578823208808899
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,628 yılında Muhammed'in Hayber'de bulunduğu sırada yanına gelerek Müslüman oldu .,"628: O, yılın: B-DATE, Muhammed'in: B-PERSON, Hayber'de: B-LOCATION, bulunduğu: O, sırada: O, yanına: O, gelerek: O, Müslüman: O, oldu: O, .: O,","628: O, yılında: O, Muhammed'in: B-TITLE, Hayber'de: O, bulunduğu: O, sırada: O, yanına: O, gelerek: O, Müslüman: O, oldu: O, .: O",0.7219892863355655,0.84375,0.7419354838709677,0.84375,0.8555422425270081
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"3 milyon dolarlık bütçe ile çekilen filmin başrolü , yapımcısı ve yönetmeni Altın Küre adayı oyuncu Emilio Estevezdir .","3 milyon: O, dolar: O, ile: O, çekilen: O, filmin: O, başrolü: O, ,: O, yapımcısı: O, ve: O, yönetmeni: O, Altın: O, Küre: O, adayı: O, oyuncu: O, Emilio: I-PERSON, Estevez: I-PERSON,dir: O.","3: O, milyon: O, dolarlık: B-TITLE, bütçe: O, ile: O, çekilen: O, filmin: B-TITLE, başrolü: O, : O, yapımcısı: O, ve: O, yönetmeni: O, Altın: O, Küre: O, adayı: O, oyuncu: B-TITLE, Emilio: B-PERSON, Estevezdir: I-PERSON, .: O",0.6320857959489669,0.8043478260869565,0.6222222222222223,0.782608695652174,0.8716803789138794
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,2004'te bir Nickelodeon sitcom'u olan Drake & Josh'ta Megan Parker rolünde oynadı .,"2004: B-DATE, te: I-DATE, bir: O, Nickelodeon: B-ORGANIZATION, sitcom'u: O, olan: O, Drake: B-WORK_OF_ART, & : O, Josh: B-WORK_OF_ART, ta: O, Megan: B-PERSON, Parker: B-PERSON, rolünde: O, oynadı: O, : O, . : O","2004'te: B-TITLE, bir: O, Nickelodeon: B-ORGANIZATION, sitcom'u: O, olan: O, Drake: B-TITLE, &: I-TITLE, Josh'ta: I-TITLE, Megan: B-PERSON, Parker: I-PERSON, rolünde: O, oynadı: O, .: O",0.5941807346586183,0.7532467532467533,0.5333333333333332,0.7012987012987013,0.8695695996284485
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,1958 yılında Planlama Komisyonu'nda sekreterya görevini yaptıktan sonra 1959 yılında Ankara Ordonat Okulu'nda yedek subay oldu .,"1958: B-DATE, yılında: O, Planlama: O, Komisyonu'nda: B-ORGANIZATION, sekreterya: O, görevini: O, yaptıktan: O, sonra: O, 1959: B-DATE, yılında: O, Ankara: B-LOCATION, Ordonat: O, Okulu'nda: B-ORGANIZATION, yedek: O, subay: O, oldu: O .","1958: O, yılında: O, Planlama: O, Komisyonu'nda: O, sekreterya: O, görevini: O, yaptıktan: O, sonra: O, 1959: O, yılında: O, Ankara: B-TITLE, Ordonat: O, Okulu'nda: O, yedek: O, subay: O, oldu: O, .: O",0.7174840424797068,0.8275862068965518,0.7058823529411764,0.8275862068965518,0.8297500014305115
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,Heartbreak Hotel İsveçli şarkıcı Yohio'nun seslendirdiği şarkıdır .,"Heartbreak: O, Hotel: O, İsveçli: B-PERSON, şarkıcı: B-PERSON, Yohio'nun: I-PERSON, seslendirdiği: B-WORK_OF_ART, şarkıdır: O, .: O, Heartbreak: O, Hotel: O, İsveçli: B-PERSON, şarkıcı: B-PERSON, Yohio'nun: I-PERSON, seslendirdiği: B-WORK_OF_ART, şarkıdır: O, .: O","Heartbreak: B-TITLE, Hotel: I-TITLE, İsveçli: B-LOCATION, şarkıcı: B-TITLE, Yohio'nun: B-TITLE, seslendirdiği: O, şarkıdır: B-TITLE, .: O",0.23758449050137845,0.5238095238095237,0.21951219512195122,0.4285714285714286,0.7120885252952576
