Instruction,Input,Generated Text,Expected Output,BLEU,ROUGE1,ROUGE2,ROUGEL,BERTScore F1
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Bu nüfus , Sırp General Rankoviç döneminde Kosova'da ( o dönemki Yugoslavya'da ) yapılan baskı ve zulümlerden sonra , Kosova'yı terk etmek zorunda kalıp Türkiye'ye göç etmelerle oluşmuştur .","bu: O, nüfus: O, ,: O, Sırp: B-PERSON, General: B-PERSON, Rankoviç: I-PERSON, döneminde: O, Kosova'da: B-LOCATION, ( : O, o: O, dönemdeki: O, Yugoslavya'da: B-LOCATION, ): O, yapılan: O, baskı: O, ve: O, zulümlerden: O, sonra: O, Kosova'yı: B-LOCATION, terk etmek: O, zorunda: O, kalıp: O, Türkiye'ye: B-LOCATION, göç: O, etmelerle: O, oluşmuştur: O, .: O","Bu: O, nüfus: O, : O, Sırp: O, General: O, Rankoviç: O, döneminde: O, Kosova'da: B-LOCATION, (: O, o: O, dönemki: O, Yugoslavya'da: O, ): O, yapılan: O, baskı: O, ve: O, zulümlerden: O, sonra: O, : O, Kosova'yı: B-LOCATION, terk: O, etmek: O, zorunda: O, kalıp: O, Türkiye'ye: O, göç: O, etmelerle: O, oluşmuştur: O, .: O",0.733296000104846,0.8652482269503546,0.762589928057554,0.8652482269503546,0.9022817015647888
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,Tony Iommi Black Sabbath grubunun kurucusu ve grubun genel soundunun yaratıcısı efsane virtüoz heavy metal gitaristidir .,"Tony: B-PERSON, Iommi: I-PERSON, Black: O, Sabbath: O, grubunun: O, kurucusu: B-PERSON, ve: O, grubun: O, genel: O, soundunun: O, yaratıcısı: B-PERSON, efsane: O, virtüoz: O, heavy: O, metal: O, gitarist: B-PERSON,tir: O, . : O,","Tony: B-TITLE, Iommi: I-TITLE, Black: B-PERSON, Sabbath: I-PERSON, grubunun: O, kurucusu: O, ve: O, grubun: O, genel: O, soundunun: O, yaratıcısı: O, efsane: O, virtüoz: O, heavy: B-TITLE, metal: I-TITLE, gitaristidir: B-TITLE, .: O",0.6406459197446134,0.8139534883720931,0.5,0.6744186046511628,0.8923699855804443
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Doktorlar bacağının kesilmesinde karar kılmış , fakat Safa bunu kabul etmemiştir .","Doktorlar: O, bacağının: O, kesilmesinde: O, karar: O, kılmış: O, ,: O, Safa: O, bunu: O, kabul: O, etmemiştir: O, .","Doktorlar: B-TITLE, bacağının: O, kesilmesinde: O, karar: O, kılmış: O, : O, fakat: O, Safa: B-PERSON, bunu: O, kabul: O, etmemiştir: O, .: O",0.6557442451751505,0.9019607843137255,0.7346938775510203,0.8235294117647057,0.8718717694282532
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"İlçede Türkiye'nin büyük bir bölümünü etkisi altında tutan , karasal iklim özellikleri görülür .","İlçe: O, Türkiye'nin: B-ORGANIZATION, büyük: B-ORGANIZATION, bir: B-QUANTITY, bölümünü: I-ORGANIZATION, etkisi: O, altında: O, tutan: O, karasal: B-ADJECTIVE, iklim: B-WORK_OF_ART, özellikleri: O, görülür: O, : O, ,: O, karasal: B-ADJECTIVE, iklim: B-WORK_OF_ART, özellikleri: O, görülür: O, .: O","İlçede: O, Türkiye'nin: B-LOCATION, büyük: O, bir: O, bölümünü: O, etkisi: O, altında: O, tutan: O, : O, karasal: O, iklim: O, özellikleri: O, görülür: O, .: O",0.462398125835741,0.6990291262135921,0.49504950495049505,0.6407766990291262,0.7471904754638672
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Takahata 1959 yılında Tokyo Üniversitesi Fransız Dili ve Edebiyatı bölümünden mezun olmuş , ardından yeni kurulan Toei Doga animasyon şirketine ( bugünkü adıyla Toei Animation ) katılmıştır .","Takahata: O-PERSON, 1959: B-DATE, yılında: I-DATE, Tokyo: B-LOCATION, Üniversitesi: B-ORGANIZATION, Fransız: B-LANGUAGE, Dili: B-LANGUAGE, ve: O, Edebiyatı: B-WORK_OF_ART, bölümünden: O, mezun: O, olmuş: O, ,: O, ardından: O, yeni: O, kurulan: O, Toei: B-ORGANIZATION, Doga: B-ORGANIZATION, animasyon: B-ORGANIZATION, şirketine: I-ORGANIZATION, katılmıştır: O, .: O, bugünkü: O, adıyla: O, Toei: B-ORGANIZATION, Animation: B-ORGANIZATION, .: O","Takahata: B-PERSON, 1959: B-TITLE, yılında: O, Tokyo: B-ORGANIZATION, Üniversitesi: I-ORGANIZATION, Fransız: B-LOCATION, Dili: O, ve: O, Edebiyatı: B-TITLE, bölümünden: O, mezun: O, olmuş: O, : O, ardından: O, yeni: O, kurulan: O, Toei: B-TITLE, Doga: O, animasyon: B-TITLE, şirketine: O, (: O, bugünkü: O, adıyla: O, Toei: B-TITLE, Animation: I-TITLE, ): O, katılmıştır: O, .: O",0.6704112395823134,0.8366013071895425,0.609271523178808,0.7058823529411764,0.8694613575935364
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,628 yılında Muhammed'in Hayber'de bulunduğu sırada yanına gelerek Müslüman oldu .,"628: B-DATE, yılın: O, ,: O, Muhammed'in: B-PERSON, Hayber'de: B-LOCATION, bulunduğu: O, sırada: O, yanına: O, gelerek: O, Müslüman: I-PERSON, oldu: O, .: O,","628: O, yılında: O, Muhammed'in: B-TITLE, Hayber'de: O, bulunduğu: O, sırada: O, yanına: O, gelerek: O, Müslüman: O, oldu: O, .: O",0.6177238436221925,0.8181818181818182,0.625,0.787878787878788,0.8213881850242615
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"3 milyon dolarlık bütçe ile çekilen filmin başrolü , yapımcısı ve yönetmeni Altın Küre adayı oyuncu Emilio Estevezdir .","3: O, milyon: O, dolar: O, ile: O, çekilen: O, filmin: O, başrolü: O, ,: O, yapımcısı: O, ve: O, yönetmeni: O, Altın: O, Küre: O, adayı: O, oyuncu: O, Emilio: O, Estevez'dir: O, .","3: O, milyon: O, dolarlık: B-TITLE, bütçe: O, ile: O, çekilen: O, filmin: B-TITLE, başrolü: O, : O, yapımcısı: O, ve: O, yönetmeni: O, Altın: O, Küre: O, adayı: O, oyuncu: B-TITLE, Emilio: B-PERSON, Estevezdir: I-PERSON, .: O",0.612684166481553,0.7555555555555556,0.6590909090909091,0.7555555555555556,0.8258717060089111
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,2004'te bir Nickelodeon sitcom'u olan Drake & Josh'ta Megan Parker rolünde oynadı .,"2004: B-DATE, te: O, bir: O, Nickelodeon: B-ORGANIZATION, sitcom'u: B-WORK_OF_ART, olan: O, Drake: B-PERSON, &: O, Josh: B-PERSON, 'ta: O, Megan: B-PERSON, Parker: B-PERSON, rolünde: O, oynadı: O, .: O, 2004: B-DATE, te: O, bir: O, Nickelodeon: B-ORGANIZATION, sitcom'u: B-WORK_OF_ART, olan: O, Drake: B-PERSON, &: O, Josh: B-PERSON, 'ta: O, Megan: B-PERSON, Parker: B-PERSON, rolünde: O, oynadı: O, .: O","2004'te: B-TITLE, bir: O, Nickelodeon: B-ORGANIZATION, sitcom'u: O, olan: O, Drake: B-TITLE, &: I-TITLE, Josh'ta: I-TITLE, Megan: B-PERSON, Parker: I-PERSON, rolünde: O, oynadı: O, .: O",0.31065376127845307,0.49557522123893805,0.32432432432432434,0.47787610619469023,0.7493472695350647
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,1958 yılında Planlama Komisyonu'nda sekreterya görevini yaptıktan sonra 1959 yılında Ankara Ordonat Okulu'nda yedek subay oldu .,"1958: B-DATE, yılında: O, Planlama: B-ORGANIZATION, Komisyonu'nda: I-ORGANIZATION, sekreterya: O, görevini: O, yaptıktan: O, sonra: O, 1959: B-DATE, yılında: O, Ankara: B-LOCATION, Ordonat: B-ORGANIZATION, Okulu'nda: I-ORGANIZATION, yedek: O, subay: O, oldu: O , : O, . : O","1958: O, yılında: O, Planlama: O, Komisyonu'nda: O, sekreterya: O, görevini: O, yaptıktan: O, sonra: O, 1959: O, yılında: O, Ankara: B-TITLE, Ordonat: O, Okulu'nda: O, yedek: O, subay: O, oldu: O, .: O",0.599695540470164,0.7912087912087913,0.6067415730337078,0.7692307692307692,0.7904737591743469
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,Heartbreak Hotel İsveçli şarkıcı Yohio'nun seslendirdiği şarkıdır .,"Heartbreak: O, Hotel: O, İsveçli: B-PERSON, şarkıcı: O, Yohio'nun: B-PERSON, seslendirdiği: O, şarkıdır: B-WORK_OF_ART, .: O, Heartbreak: O, Hotel: O, İsveçli: B-PERSON, şarkıcı: O, Yohio'nun: B-PERSON, seslendirdiği: O, şarkıdır: B-WORK_OF_ART, .: O","Heartbreak: B-TITLE, Hotel: I-TITLE, İsveçli: B-LOCATION, şarkıcı: B-TITLE, Yohio'nun: B-TITLE, seslendirdiği: O, şarkıdır: B-TITLE, .: O",0.2984031585585095,0.5365853658536585,0.3,0.4878048780487805,0.7223109006881714
