Instruction,Input,Generated Text,Expected Output,BLEU,ROUGE1,ROUGE2,ROUGEL,BERTScore F1
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Bu nüfus , Sırp General Rankoviç döneminde Kosova'da ( o dönemki Yugoslavya'da ) yapılan baskı ve zulümlerden sonra , Kosova'yı terk etmek zorunda kalıp Türkiye'ye göç etmelerle oluşmuştur .","Kelime: ETİKET, kelime: ETİKET, ... (virgül ve bir boşlukla ayrılmalı)
**: O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, : O, Kelime: ETİKET, :","Bu: O, nüfus: O, : O, Sırp: O, General: O, Rankoviç: O, döneminde: O, Kosova'da: B-LOCATION, (: O, o: O, dönemki: O, Yugoslavya'da: O, ): O, yapılan: O, baskı: O, ve: O, zulümlerden: O, sonra: O, : O, Kosova'yı: B-LOCATION, terk: O, etmek: O, zorunda: O, kalıp: O, Türkiye'ye: O, göç: O, etmelerle: O, oluşmuştur: O, .: O",0.015179976808187978,0.06509539842873176,0.0,0.06285072951739618,0.5331287980079651
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,Tony Iommi Black Sabbath grubunun kurucusu ve grubun genel soundunun yaratıcısı efsane virtüoz heavy metal gitaristidir .,"Jerrishoe: B-LOCATION, Almanya'nın: B-LOCATION, kuzeyinde: O, Schleswig: B-LOCATION, Holstein: I-LOCATION, eyaletinde: O, : O, Schleswig: B-LOCATION, Flensburg: O, iline: O, bağlı: O, bölge: O, .: O, 16.32: O, km: O, 2: O, yüzölçüme: O, sahiptir: O, .: O","Tony: B-TITLE, Iommi: I-TITLE, Black: B-PERSON, Sabbath: I-PERSON, grubunun: O, kurucusu: O, ve: O, grubun: O, genel: O, soundunun: O, yaratıcısı: O, efsane: O, virtüoz: O, heavy: B-TITLE, metal: I-TITLE, gitaristidir: B-TITLE, .: O",0.12015709659734906,0.32967032967032966,0.0,0.2857142857142857,0.6564322710037231
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Doktorlar bacağının kesilmesinde karar kılmış , fakat Safa bunu kabul etmemiştir .","Jerrishoe: B-LOCATION, Almanya'nın: B-LOCATION, kuzeyinde: O, Schleswig: B-LOCATION, Holstein: I-LOCATION, eyaletinde: O, : O, Schleswig: B-LOCATION, Flensburg: O, iline: O, bağlı: O, bölge: O, .: O, 16.32: O, km: O, 2: O, yüzölçüme: O, sahiptir: O, .: O","Doktorlar: B-TITLE, bacağının: O, kesilmesinde: O, karar: O, kılmış: O, : O, fakat: O, Safa: B-PERSON, bunu: O, kabul: O, etmemiştir: O, .: O",0.1920799615811974,0.3684210526315789,0.08108108108108109,0.3684210526315789,0.6227157711982727
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"İlçede Türkiye'nin büyük bir bölümünü etkisi altında tutan , karasal iklim özellikleri görülür .","Jerrishoe: B-LOCATION, Almanya'nın: B-LOCATION, kuzeyinde: O, Schleswig: B-LOCATION, Holstein: I-LOCATION, eyaletinde: O, : O, Schleswig: B-LOCATION, Flensburg: O, iline: O, bağlı: O, bölge: O, .: O, 16.32: O, km: O, 2: O, yüzölçüme: O, sahiptir: O, .: O","İlçede: O, Türkiye'nin: B-LOCATION, büyük: O, bir: O, bölümünü: O, etkisi: O, altında: O, tutan: O, : O, karasal: O, iklim: O, özellikleri: O, görülür: O, .: O",0.24425744726418255,0.5,0.09302325581395349,0.38636363636363635,0.7379750609397888
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Takahata 1959 yılında Tokyo Üniversitesi Fransız Dili ve Edebiyatı bölümünden mezun olmuş , ardından yeni kurulan Toei Doga animasyon şirketine ( bugünkü adıyla Toei Animation ) katılmıştır .","Jerrishoe: B-LOCATION, Almanya'nın: B-LOCATION, kuzeyinde: O, Schleswig: B-LOCATION, Holstein: I-LOCATION, eyaletinde: O, : O, Schleswig: B-LOCATION, Flensburg: O, iline: O, bağlı: O, bölge: O, .: O, 16.32: O, km: O, 2: O, yüzölçüme: O, sahiptir: O, .: O","Takahata: B-PERSON, 1959: B-TITLE, yılında: O, Tokyo: B-ORGANIZATION, Üniversitesi: I-ORGANIZATION, Fransız: B-LOCATION, Dili: O, ve: O, Edebiyatı: B-TITLE, bölümünden: O, mezun: O, olmuş: O, : O, ardından: O, yeni: O, kurulan: O, Toei: B-TITLE, Doga: O, animasyon: B-TITLE, şirketine: O, (: O, bugünkü: O, adıyla: O, Toei: B-TITLE, Animation: I-TITLE, ): O, katılmıştır: O, .: O",0.1839449492358813,0.4098360655737705,0.06666666666666665,0.3442622950819672,0.7453599572181702
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,628 yılında Muhammed'in Hayber'de bulunduğu sırada yanına gelerek Müslüman oldu .,"628: O, yılında: O, Muhammed'in: B-PERSON, Hayber'de: O, bulunduğu: O, sırada: O, yanına: O, gelerek: O, Müslüman: O, oldu: O, .: O","628: O, yılında: O, Muhammed'in: B-TITLE, Hayber'de: O, bulunduğu: O, sırada: O, yanına: O, gelerek: O, Müslüman: O, oldu: O, .: O",0.9452861848260063,0.967741935483871,0.9333333333333333,0.967741935483871,0.9558278918266296
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"3 milyon dolarlık bütçe ile çekilen filmin başrolü , yapımcısı ve yönetmeni Altın Küre adayı oyuncu Emilio Estevezdir .","Jerrishoe: B-LOCATION, Almanya'nın: B-LOCATION, kuzeyinde: O, Schleswig: B-LOCATION, Holstein: I-LOCATION, eyaletinde: O, : O, Schleswig: B-LOCATION, Flensburg: O, iline: O, bağlı: O, bölge: O, .: O, 16.32: O, km: O, 2: O, yüzölçüme: O, sahiptir: O, .: O","3: O, milyon: O, dolarlık: B-TITLE, bütçe: O, ile: O, çekilen: O, filmin: B-TITLE, başrolü: O, : O, yapımcısı: O, ve: O, yönetmeni: O, Altın: O, Küre: O, adayı: O, oyuncu: B-TITLE, Emilio: B-PERSON, Estevezdir: I-PERSON, .: O",0.22761602540826226,0.46938775510204084,0.041666666666666664,0.32653061224489793,0.6922554969787598
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,2004'te bir Nickelodeon sitcom'u olan Drake & Josh'ta Megan Parker rolünde oynadı .,"2004'te: O, bir: O, Nickelodeon: O, sitcom'u: O, olan: O, Drake: B-PERSON, &: I-PERSON, Josh'ta: I-PERSON, Megan: B-PERSON, Parker: I-PERSON, rolünde: O, oynadı: O, .: O","2004'te: B-TITLE, bir: O, Nickelodeon: B-ORGANIZATION, sitcom'u: O, olan: O, Drake: B-TITLE, &: I-TITLE, Josh'ta: I-TITLE, Megan: B-PERSON, Parker: I-PERSON, rolünde: O, oynadı: O, .: O",0.7487324879422046,0.823529411764706,0.6666666666666667,0.823529411764706,0.898285984992981
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,1958 yılında Planlama Komisyonu'nda sekreterya görevini yaptıktan sonra 1959 yılında Ankara Ordonat Okulu'nda yedek subay oldu .,"1958: B-LOCATION, yılında: O, Planlama: O, Komisyonu'nda: O, sekreterya: O, görevini: O, yaptıktan: O, sonra: O, 1959: O, yılında: O, Ankara: B-LOCATION, Ordonat: O, Okulu'nda: O, yedek: O, subay: O, oldu: O, .: O","1958: O, yılında: O, Planlama: O, Komisyonu'nda: O, sekreterya: O, görevini: O, yaptıktan: O, sonra: O, 1959: O, yılında: O, Ankara: B-TITLE, Ordonat: O, Okulu'nda: O, yedek: O, subay: O, oldu: O, .: O",0.9060450046726847,0.9411764705882352,0.8915662650602411,0.9411764705882352,0.9185450673103333
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,Heartbreak Hotel İsveçli şarkıcı Yohio'nun seslendirdiği şarkıdır .,"Heartbreak Hotel: B-TITLE, İsveçli: O, şarkıcı: O, Yohio'nun: O, seslendirdiği: O, şarkıdır: O, .: O","Heartbreak: B-TITLE, Hotel: I-TITLE, İsveçli: B-LOCATION, şarkıcı: B-TITLE, Yohio'nun: B-TITLE, seslendirdiği: O, şarkıdır: B-TITLE, .: O",0.3808775217228182,0.7200000000000001,0.4583333333333333,0.68,0.816101610660553
