Instruction,Input,Generated Text,Expected Output,BLEU,ROUGE1,ROUGE2,ROUGEL,BERTScore F1
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Bu nüfus , Sırp General Rankoviç döneminde Kosova'da ( o dönemki Yugoslavya'da ) yapılan baskı ve zulümlerden sonra , Kosova'yı terk etmek zorunda kalıp Türkiye'ye göç etmelerle oluşmuştur .","bu: O, nüfus: O, ,: O, Sırp: B-PERSON, General: B-PERSON, Rankoviç: I-PERSON, döneminde: O, Kosova'da: B-LOCATION, ( : O, o: O, dönemdeki: O, Yugoslavya'da : B-ORGANIZATION, ): O, yapılan: O, baskı: O, ve: O, zulümlerden: O, sonra: O, Kosova'yı: B-LOCATION, terk etmek: O, zorunda: O, kalıp: O, Türkiye'ye: B-LOCATION, göç: O, etmelerle: O, oluşmuştur: O, .: O","Bu: O, nüfus: O, : O, Sırp: O, General: O, Rankoviç: O, döneminde: O, Kosova'da: B-LOCATION, (: O, o: O, dönemki: O, Yugoslavya'da: O, ): O, yapılan: O, baskı: O, ve: O, zulümlerden: O, sonra: O, : O, Kosova'yı: B-LOCATION, terk: O, etmek: O, zorunda: O, kalıp: O, Türkiye'ye: O, göç: O, etmelerle: O, oluşmuştur: O, .: O",0.733296000104846,0.8652482269503546,0.762589928057554,0.8652482269503546,0.8967418670654297
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,Tony Iommi Black Sabbath grubunun kurucusu ve grubun genel soundunun yaratıcısı efsane virtüoz heavy metal gitaristidir .,"Tony: B-PERSON, Iommi: I-PERSON, Black: O, Sabbath: O, grubunun: O, kurucusu: O, ve: O, grubun: O, genel: O, soundunun: O, yaratıcısı: O, efsane: O, virtüoz: O, heavy: O, metal: O, gitarist: O,idir: O, .: O, Tony: B-PERSON, Iommi: I-PERSON, Black: O, Sabbath: O, grubunun: O, kurucusu: O, ve: O, grubun: O, genel: O, soundunun: O, yaratıcısı: O, efsane: O, virtüoz: O, heavy: O, metal: O, gitarist: O,idir: O, .: O","Tony: B-TITLE, Iommi: I-TITLE, Black: B-PERSON, Sabbath: I-PERSON, grubunun: O, kurucusu: O, ve: O, grubun: O, genel: O, soundunun: O, yaratıcısı: O, efsane: O, virtüoz: O, heavy: B-TITLE, metal: I-TITLE, gitaristidir: B-TITLE, .: O",0.37415201903584805,0.5528455284552846,0.4132231404958678,0.5365853658536585,0.7300223708152771
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Doktorlar bacağının kesilmesinde karar kılmış , fakat Safa bunu kabul etmemiştir .","Doktorlar: O, bacağının: O, kesilmesinde: O, karar: O, kılmış: O, ,: O, Safa: O, bunu: O, kabul: O, etmemiştir: O.","Doktorlar: B-TITLE, bacağının: O, kesilmesinde: O, karar: O, kılmış: O, : O, fakat: O, Safa: B-PERSON, bunu: O, kabul: O, etmemiştir: O, .: O",0.6360980810577895,0.9019607843137255,0.7346938775510203,0.8235294117647057,0.8665714263916016
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"İlçede Türkiye'nin büyük bir bölümünü etkisi altında tutan , karasal iklim özellikleri görülür .","İlçe: O, Türkiye'nin: B-LOCATION, büyük: B-QUANTITY, bir: B-QUANTITY, bölüm: B-NOUN, etkisini: I-VERB, altında: I-PREP, tutan: I-VERB, : O, karasal: B-ADJECTIVE, iklim: B-NOUN, özellikleri: I-NOUN, görülür: I-VERB, . : O,","İlçede: O, Türkiye'nin: B-LOCATION, büyük: O, bir: O, bölümünü: O, etkisi: O, altında: O, tutan: O, : O, karasal: O, iklim: O, özellikleri: O, görülür: O, .: O",0.3206583420788703,0.6067415730337078,0.36781609195402293,0.6067415730337078,0.732001781463623
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"Takahata 1959 yılında Tokyo Üniversitesi Fransız Dili ve Edebiyatı bölümünden mezun olmuş , ardından yeni kurulan Toei Doga animasyon şirketine ( bugünkü adıyla Toei Animation ) katılmıştır .","Takahata: O-PERSON, 1959: B-DATE, yılında: B-DATE, Tokyo: B-LOCATION, Üniversitesi: B-ORGANIZATION, Fransız: B-LANGUAGE, Dili: B-LANGUAGE, ve: O, Edebiyatı: B-WORK_OF_ART, bölümünden: O, mezun: O, olmuş: O, ,: O, ardından: O, yeni: O, kurulan: O, Toei: B-ORGANIZATION, Doga: O, animasyon: O, şirketine: O, ( : O, bugünkü: O, adıyla: O, Toei: B-ORGANIZATION, Animation: B-ORGANIZATION, ) : O, katılmıştır: O, . : O","Takahata: B-PERSON, 1959: B-TITLE, yılında: O, Tokyo: B-ORGANIZATION, Üniversitesi: I-ORGANIZATION, Fransız: B-LOCATION, Dili: O, ve: O, Edebiyatı: B-TITLE, bölümünden: O, mezun: O, olmuş: O, : O, ardından: O, yeni: O, kurulan: O, Toei: B-TITLE, Doga: O, animasyon: B-TITLE, şirketine: O, (: O, bugünkü: O, adıyla: O, Toei: B-TITLE, Animation: I-TITLE, ): O, katılmıştır: O, .: O",0.6870180201714428,0.8741721854304636,0.6577181208053691,0.794701986754967,0.8876804709434509
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,628 yılında Muhammed'in Hayber'de bulunduğu sırada yanına gelerek Müslüman oldu .,"628: O, yılında: B-DATE, Muhammed'in: B-PERSON, Hayber'de: B-LOCATION, bulunduğu: O, sırada: O, yanına: O, gelerek: O, Müslüman: O, oldu: O, .: O,","628: O, yılında: O, Muhammed'in: B-TITLE, Hayber'de: O, bulunduğu: O, sırada: O, yanına: O, gelerek: O, Müslüman: O, oldu: O, .: O",0.7569889126915061,0.875,0.7741935483870969,0.875,0.8567916750907898
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,"3 milyon dolarlık bütçe ile çekilen filmin başrolü , yapımcısı ve yönetmeni Altın Küre adayı oyuncu Emilio Estevezdir .","3 milyon: O, dolar: O, ile: O, çekilen: O, filmin: O, başrolü: O, ,: O, yapımcısı: O, ve: O, yönetmeni: O, Altın: O, Küre: O, adayı: O, oyuncu: O, Emilio: I-PERSON, Estevez: I-PERSON,dir: O, .","3: O, milyon: O, dolarlık: B-TITLE, bütçe: O, ile: O, çekilen: O, filmin: B-TITLE, başrolü: O, : O, yapımcısı: O, ve: O, yönetmeni: O, Altın: O, Küre: O, adayı: O, oyuncu: B-TITLE, Emilio: B-PERSON, Estevezdir: I-PERSON, .: O",0.6355846273464958,0.8043478260869565,0.6222222222222223,0.782608695652174,0.8749200701713562
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,2004'te bir Nickelodeon sitcom'u olan Drake & Josh'ta Megan Parker rolünde oynadı .,"2004: B-DATE, 'te: O, Nickelodeon: B-ORGANIZATION, sitcom'u: B-WORK_OF_ART, olan: O, Drake: B-PERSON, &: O, Josh: B-PERSON, 'ta: O, Megan: B-PERSON, Parker: B-PERSON, rolünde: O, oynadı: O, .: O","2004'te: B-TITLE, bir: O, Nickelodeon: B-ORGANIZATION, sitcom'u: O, olan: O, Drake: B-TITLE, &: I-TITLE, Josh'ta: I-TITLE, Megan: B-PERSON, Parker: I-PERSON, rolünde: O, oynadı: O, .: O",0.6396594999168655,0.75,0.4857142857142857,0.6944444444444444,0.8789107203483582
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,1958 yılında Planlama Komisyonu'nda sekreterya görevini yaptıktan sonra 1959 yılında Ankara Ordonat Okulu'nda yedek subay oldu .,"1958: B-DATE, yılında: O, Planlama: O, Komisyonu'nda: B-ORGANIZATION, sekreterya: O, görevini: O, yaptıktan: O, sonra: O, 1959: B-DATE, yılında: O, Ankara: B-LOCATION, Ordonat: O, Okulu'nda: B-ORGANIZATION, yedek: O, subay: O, oldu: O, . : O","1958: O, yılında: O, Planlama: O, Komisyonu'nda: O, sekreterya: O, görevini: O, yaptıktan: O, sonra: O, 1959: O, yılında: O, Ankara: B-TITLE, Ordonat: O, Okulu'nda: O, yedek: O, subay: O, oldu: O, .: O",0.7087268696064738,0.8409090909090908,0.7209302325581395,0.8409090909090908,0.8428822755813599
Aşağıdaki cümledeki varlıkları tanımla ve etiketle:,Heartbreak Hotel İsveçli şarkıcı Yohio'nun seslendirdiği şarkıdır .,"Heartbreak: O, Hotel: O, İsveçli: B-PERSON, şarkıcı: O, Yohio'nun: B-PERSON, seslendirdiği: O, şarkıdır: B-WORK_OF_ART, .: O,","Heartbreak: B-TITLE, Hotel: I-TITLE, İsveçli: B-LOCATION, şarkıcı: B-TITLE, Yohio'nun: B-TITLE, seslendirdiği: O, şarkıdır: B-TITLE, .: O",0.47848579329848584,0.6909090909090909,0.4528301886792453,0.6909090909090909,0.8060182929039001
